entity_type,primary_category,review_count,negative_text_share,positive_text_share,mismatch_share,average_rating
app,Travel & Local,16797,0.422,0.3305,0.1204,2.2286
app,Lifestyle,9380,0.4165,0.3971,0.2095,2.081
app,Business,29053,0.3071,0.4973,0.1359,3.0115
app,Communication,30000,0.2994,0.5282,0.159,3.0
app,Finance,34502,0.2888,0.4955,0.1427,2.9499
app,Food & Drink,75346,0.2746,0.5513,0.1426,2.968
app,Entertainment,66376,0.2723,0.5384,0.2069,2.7542
game,Sports,17166,0.2512,0.6431,0.2016,3.0571
app,Shopping,56736,0.2375,0.5548,0.1236,3.0906
app,Productivity,45841,0.2362,0.5559,0.1413,3.0649
game,Monster,175,0.2343,0.6,0.1029,3.5943
game,Action,107973,0.2293,0.6229,0.1801,3.1361
game,Word,14997,0.2274,0.6201,0.1913,3.0423
app,Health & Fitness,9207,0.2237,0.5761,0.1467,2.9891
game,Board,10157,0.2235,0.6787,0.2415,2.9402
app,Social,19573,0.2227,0.5658,0.1493,3.0939
app,House & Home,14885,0.2193,0.5233,0.1157,3.0077
game,Strategy,121196,0.2173,0.6451,0.1944,3.073
app,Education,13603,0.2172,0.6168,0.1392,3.0936
app,Sports,8471,0.2163,0.4933,0.138,3.0045
game,Role Playing,90307,0.2051,0.6689,0.2032,3.0802
game,Music,4940,0.202,0.7067,0.2304,3.0121
game,Simulation,86163,0.1929,0.6632,0.1898,3.0746
game,Card,13643,0.1881,0.6942,0.1756,3.2883
game,Puzzle,95102,0.1843,0.6764,0.1842,3.2222
game,Racing,7582,0.1604,0.677,0.1435,3.2775
app,News & Magazines,23735,0.1474,0.5672,0.0921,3.4096
app,Video Players & Editors,1388,0.1318,0.3372,0.3372,1.2327
game,Adventure,13420,0.1304,0.7356,0.1214,3.7205
app,Music & Audio,7476,0.111,0.7404,0.0958,3.702
game,Casual,273,0.0806,0.8242,0.0879,4.0659
app,Weather,4221,0.0614,0.6394,0.0445,4.3113
