rating_bucket,keyword,count
中性(3星),game,115150
中性(3星),app,52659
中性(3星),like,37561
中性(3星),good,33438
中性(3星),just,31951
中性(3星),time,27554
中性(3星),play,26529
中性(3星),ads,20823
中性(3星),fun,20272
中性(3星),don,19035
中性(3星),really,18747
中性(3星),great,17031
低分(1-2星),game,269099
低分(1-2星),app,183611
低分(1-2星),just,90501
低分(1-2星),time,78520
低分(1-2星),like,68323
低分(1-2星),play,67671
低分(1-2星),ads,65582
低分(1-2星),don,56153
低分(1-2星),money,48233
低分(1-2星),update,44929
低分(1-2星),good,42485
低分(1-2星),use,40098
高分(4-5星),game,298556
高分(4-5星),app,117845
高分(4-5星),good,98246
高分(4-5星),like,97739
高分(4-5星),great,86802
高分(4-5星),love,82809
高分(4-5星),fun,73172
高分(4-5星),just,64323
高分(4-5星),play,62371
高分(4-5星),time,58335
高分(4-5星),really,57683
高分(4-5星),easy,48979
