entity_type,title,primary_category,recent_review_count,recent_average_rating,previous_review_count,previous_average_rating,rating_drop,review_volume_change_rate
game,Toy Match 3D: Triple Match,Puzzle,33.0,2.6364,37.0,4.1892,1.5528,-0.1081
game,Deadly Dudes,Action,50.0,2.76,11.0,4.0909,1.3309,3.5455
game,Idle Outpost: Upgrade Games,Simulation,278.0,2.2122,317.0,3.1609,0.9487,-0.123
game,Lemmings: Puzzle Survival,Puzzle,34.0,2.5588,22.0,3.3182,0.7594,0.5455
game,Lands of Jail,Simulation,451.0,3.0887,125.0,3.816,0.7273,2.608
game,Battle Strategy: Tower Defense,Strategy,54.0,2.5556,77.0,3.2468,0.6912,-0.2987
game,Geometry Dash,Action,106.0,3.0943,95.0,3.7368,0.6425,0.1158
game,Idle Airport Empire,Simulation,45.0,2.8444,37.0,3.4595,0.615,0.2162
game,Eversoul,Role Playing,21.0,3.4286,28.0,3.9643,0.5357,-0.25
game,Rollance : Adventure Balls,Action,99.0,3.1818,93.0,3.6559,0.4741,0.0645
game,Free Fire MAX,Action,1195.0,2.8025,1592.0,3.2758,0.4732,-0.2494
game,Mr Autofire,Action,34.0,3.2059,36.0,3.6389,0.433,-0.0556
game,Pondlife — Relaxing Fish Game,Simulation,268.0,3.8433,308.0,4.263,0.4197,-0.1299
game,Summoners War,Role Playing,140.0,2.65,92.0,3.0652,0.4152,0.5217
game,Frozen War: Endless Frost,Strategy,73.0,3.7123,179.0,4.1061,0.3938,-0.5922
game,Tap Away,Puzzle,105.0,2.7524,121.0,3.124,0.3716,-0.1322
game,E.T.E Chronicle,Role Playing,132.0,4.0076,543.0,4.3775,0.37,-0.7569
game,Lucky Offense,Strategy,171.0,3.0175,71.0,3.3521,0.3346,1.4085
game,Kitty’s Kitchen Diary,Simulation,54.0,3.6111,131.0,3.9389,0.3278,-0.5878
game,World of Kungfu: Dragon&Eagle,Role Playing,64.0,3.9531,80.0,4.275,0.3219,-0.2
game,Idle Mafia - Tycoon Manager,Simulation,18.0,2.7778,36.0,3.0833,0.3056,-0.5
game,Delicious: The First Course,Casual,27.0,3.7037,39.0,4.0,0.2963,-0.3077
app,U-Haul,Travel & Local,67.0,2.4627,58.0,2.7586,0.2959,0.1552
game,Frost & Flame: King of Avalon,Strategy,50.0,3.12,41.0,3.4146,0.2946,0.2195
game,The Vault: Logic Puzzle Box,Puzzle,61.0,3.8852,117.0,4.1795,0.2942,-0.4786
game,Bullet Echo: PVP Shooter,Action,158.0,2.7911,165.0,3.0788,0.2876,-0.0424
game,Woodber - Classic Number Game,Puzzle,95.0,3.3263,162.0,3.5988,0.2724,-0.4136
game,Balatro,Card,136.0,4.0588,232.0,4.3233,0.2645,-0.4138
game,FINAL FANTASY BE:WOTV,Role Playing,42.0,3.6667,14.0,3.9286,0.2619,2.0
game,Battle Night: Cyberpunk RPG,Role Playing,32.0,4.0312,63.0,4.2857,0.2545,-0.4921
game,"NYT Games: Word, Number, Logic",Word,106.0,3.3585,159.0,3.6101,0.2516,-0.3333
game,Sky: Children of the Light,Role Playing,109.0,3.1927,210.0,3.4381,0.2454,-0.481
