period_start,review_count,average_rating,low_score_ratio,high_score_ratio,period_type
2010-04-25,6,1.5,0.8333,0.0,day
2010-04-26,2,2.5,0.5,0.0,day
2010-04-27,2,2.0,0.5,0.0,day
2010-04-28,1,3.0,0.0,0.0,day
2010-04-29,2,2.5,0.5,0.0,day
2010-04-30,1,3.0,0.0,0.0,day
2010-05-01,4,2.75,0.25,0.0,day
2010-05-02,3,3.0,0.0,0.0,day
2010-05-03,3,2.6667,0.3333,0.0,day
2010-05-04,2,3.0,0.0,0.0,day
2010-05-06,1,3.0,0.0,0.0,day
2010-05-07,1,2.0,1.0,0.0,day
2010-05-08,1,1.0,1.0,0.0,day
2010-05-09,3,3.0,0.0,0.0,day
2010-05-10,10,2.4,0.4,0.0,day
2010-05-11,4,2.5,0.25,0.0,day
2010-05-12,4,2.5,0.25,0.0,day
2010-05-13,1,2.0,1.0,0.0,day
2010-05-14,3,2.0,0.6667,0.0,day
2010-05-15,1,3.0,0.0,0.0,day
2010-05-16,3,2.6667,0.3333,0.0,day
2010-05-17,6,2.0,0.5,0.0,day
2010-05-19,4,2.75,0.25,0.0,day
2010-05-20,2,3.0,0.0,0.0,day
2010-05-21,2,2.0,0.5,0.0,day
2010-05-22,2,2.0,0.5,0.0,day
2010-05-23,1,3.0,0.0,0.0,day
2010-05-24,2,2.0,0.5,0.0,day
2010-05-25,7,2.5714,0.2857,0.0,day
2010-05-26,3,2.0,0.6667,0.0,day
2010-05-28,3,1.6667,0.6667,0.0,day
2010-05-30,3,2.0,1.0,0.0,day
2010-05-31,2,3.0,0.0,0.0,day
2010-06-01,1,1.0,1.0,0.0,day
2010-06-02,1,3.0,0.0,0.0,day
2010-06-03,1,3.0,0.0,0.0,day
2010-06-05,1,3.0,0.0,0.0,day
2010-06-06,1,3.0,0.0,0.0,day
2010-06-07,7,2.0,0.5714,0.0,day
2010-06-08,4,2.25,0.5,0.0,day
2010-06-09,3,2.3333,0.3333,0.0,day
2010-06-11,3,2.3333,0.3333,0.0,day
2010-06-12,6,2.6667,0.3333,0.0,day
2010-06-13,2,3.0,0.0,0.0,day
2010-06-15,1,3.0,0.0,0.0,day
2010-06-17,2,2.0,1.0,0.0,day
2010-06-18,2,2.0,0.5,0.0,day
2010-06-19,2,2.5,0.5,0.0,day
2010-06-20,2,1.0,1.0,0.0,day
2010-06-21,1,3.0,0.0,0.0,day
2010-06-22,2,2.5,0.5,0.0,day
2010-06-23,3,2.6667,0.3333,0.0,day
2010-06-24,3,1.6667,0.6667,0.0,day
2010-06-25,2,1.0,1.0,0.0,day
2010-06-26,3,3.0,0.0,0.0,day
2010-06-27,1,1.0,1.0,0.0,day
2010-06-28,1,3.0,0.0,0.0,day
2010-06-29,2,1.0,1.0,0.0,day
2010-06-30,1,2.0,1.0,0.0,day
2010-07-01,2,2.5,0.5,0.0,day
2010-07-02,2,2.0,0.5,0.0,day
2010-07-03,1,3.0,0.0,0.0,day
2010-07-04,5,1.6,0.8,0.0,day
2010-07-05,5,2.2,0.4,0.0,day
2010-07-06,1,2.0,1.0,0.0,day
2010-07-07,2,2.0,0.5,0.0,day
2010-07-08,5,2.0,0.6,0.0,day
2010-07-09,3,2.3333,0.3333,0.0,day
2010-07-11,1,3.0,0.0,0.0,day
2010-07-12,2,3.0,0.0,0.0,day
2010-07-13,2,2.0,0.5,0.0,day
2010-07-14,2,2.5,0.5,0.0,day
2010-07-15,3,2.3333,0.3333,0.0,day
2010-07-16,4,1.75,0.75,0.0,day
2010-07-17,2,2.5,0.5,0.0,day
2010-07-18,3,3.0,0.0,0.0,day
2010-07-19,1,3.0,0.0,0.0,day
2010-07-20,2,3.0,0.0,0.0,day
2010-07-21,2,2.0,0.5,0.0,day
