period_start,review_count,average_rating,low_score_ratio,high_score_ratio,period_type
2010-04-19,6,1.5,0.8333,0.0,week
2010-04-26,15,2.6667,0.2667,0.0,week
2010-05-03,11,2.6364,0.2727,0.0,week
2010-05-10,26,2.4231,0.3846,0.0,week
2010-05-17,17,2.3529,0.3529,0.0,week
2010-05-24,18,2.1667,0.5556,0.0,week
2010-05-31,7,2.7143,0.1429,0.0,week
2010-06-07,25,2.36,0.4,0.0,week
2010-06-14,9,2.0,0.6667,0.0,week
2010-06-21,15,2.2,0.4667,0.0,week
2010-06-28,14,1.9286,0.6429,0.0,week
2010-07-05,17,2.1765,0.4706,0.0,week
2010-07-12,18,2.3889,0.3889,0.0,week
2010-07-19,22,2.6818,0.1818,0.0,week
2010-07-26,25,1.96,0.56,0.0,week
2010-08-02,34,1.7647,0.6765,0.0,week
2010-08-09,21,2.0952,0.5238,0.0,week
2010-08-16,27,2.2222,0.5185,0.0,week
2010-08-23,17,2.0588,0.5294,0.0,week
2010-08-30,25,2.2,0.48,0.0,week
2010-09-06,27,2.0741,0.5556,0.0,week
2010-09-13,14,2.1429,0.4286,0.0,week
2010-09-20,17,1.9412,0.7059,0.0,week
2010-09-27,38,1.9474,0.6053,0.0,week
2010-10-04,11,2.1818,0.5455,0.0,week
2010-10-11,14,2.0,0.7143,0.0,week
2010-10-18,16,2.1875,0.5625,0.0,week
2010-10-25,8,1.875,0.625,0.0,week
2010-11-01,16,2.375,0.4375,0.0,week
2010-11-08,8,2.125,0.5,0.0,week
2010-11-15,13,2.5385,0.3846,0.0,week
2010-11-22,11,1.6364,0.8182,0.0,week
2010-11-29,22,2.2727,0.4091,0.0,week
2010-12-06,20,1.9,0.65,0.0,week
2010-12-13,21,1.9524,0.619,0.0,week
2010-12-20,12,1.3333,0.9167,0.0,week
2010-12-27,26,2.5,0.3846,0.0,week
2011-01-03,19,1.9474,0.5789,0.0,week
2011-01-10,27,1.8148,0.6296,0.0,week
2011-01-17,26,2.1538,0.5,0.0,week
2011-01-24,18,2.2222,0.5,0.0,week
2011-01-31,34,1.6176,0.7353,0.0,week
2011-02-07,21,1.8571,0.7619,0.0,week
2011-02-14,16,2.125,0.5625,0.0,week
2011-02-21,26,2.1538,0.5,0.0,week
2011-02-28,20,2.3,0.4,0.0,week
2011-03-07,14,1.7857,0.7143,0.0,week
2011-03-14,14,2.0,0.5714,0.0,week
2011-03-21,8,1.625,0.75,0.0,week
2011-03-28,14,1.4286,0.9286,0.0,week
2011-04-04,23,1.5652,0.7826,0.0,week
2011-04-11,23,2.1739,0.5217,0.0,week
2011-04-18,11,1.7273,0.7273,0.0,week
2011-04-25,18,2.2222,0.5,0.0,week
2011-05-02,11,1.7273,0.9091,0.0,week
2011-05-09,16,1.8125,0.75,0.0,week
2011-05-16,11,2.0,0.6364,0.0,week
2011-05-23,10,2.4,0.3,0.0,week
2011-05-30,6,1.3333,1.0,0.0,week
2011-06-06,16,1.9375,0.625,0.0,week
2011-06-13,15,1.8,0.7333,0.0,week
2011-06-20,15,2.0,0.6,0.0,week
2011-06-27,19,2.2105,0.5263,0.0,week
2011-07-04,13,1.8462,0.7692,0.0,week
2011-07-11,8,1.875,0.75,0.0,week
2011-07-18,16,1.875,0.6875,0.0,week
2011-07-25,9,2.0,0.5556,0.0,week
2011-08-01,10,1.8,0.7,0.0,week
2011-08-08,13,1.8462,0.6154,0.0,week
2011-08-15,16,1.6875,0.875,0.0,week
2011-08-22,22,2.1364,0.5909,0.0,week
2011-08-29,10,2.5,0.3,0.0,week
2011-09-05,8,1.875,0.75,0.0,week
2011-09-12,14,1.7143,0.7143,0.0,week
2011-09-19,17,2.1765,0.5294,0.0,week
2011-09-26,18,2.3333,0.6111,0.0,week
2011-10-03,10,1.5,0.9,0.0,week
2011-10-10,8,2.25,0.5,0.0,week
2011-10-17,13,2.1538,0.5385,0.0,week
2011-10-24,8,2.375,0.5,0.0,week
2011-10-31,9,1.8889,0.6667,0.0,week
2011-11-07,3,2.0,0.6667,0.0,week
2011-11-14,7,1.8571,0.7143,0.1429,week
2011-11-21,8,1.875,0.75,0.0,week
2011-11-28,8,1.375,1.0,0.0,week
2011-12-05,14,1.5,0.7857,0.0,week
2011-12-12,17,2.1765,0.4706,0.0,week
2011-12-19,15,1.6,0.7333,0.0,week
2011-12-26,9,1.7778,0.6667,0.0,week
2012-01-02,8,1.875,0.625,0.0,week
2012-01-09,12,2.0833,0.5833,0.0833,week
2012-01-16,6,1.6667,1.0,0.0,week
2012-01-23,20,1.55,0.75,0.0,week
2012-01-30,18,1.5,0.8333,0.0,week
2012-02-06,16,1.6875,0.75,0.0,week
2012-02-13,19,1.4211,0.8421,0.0,week
2012-02-20,19,2.0526,0.5789,0.0526,week
2012-02-27,22,1.4545,0.8636,0.0,week
2012-03-05,29,2.2069,0.5517,0.069,week
2012-03-12,230,1.8522,0.7435,0.087,week
2012-03-19,57,1.7018,0.807,0.1053,week
2012-03-26,23,1.913,0.7391,0.1304,week
2012-04-02,25,1.92,0.68,0.08,week
2012-04-09,17,1.7647,0.7647,0.0,week
2012-04-16,15,2.0,0.6667,0.0,week
2012-04-23,14,1.9286,0.7143,0.0,week
2012-04-30,12,2.1667,0.5833,0.0833,week
2012-05-07,33,1.697,0.7576,0.0303,week
2012-05-14,24,1.9167,0.6667,0.0,week
2012-05-21,23,2.2609,0.5217,0.0435,week
2012-05-28,15,1.9333,0.6,0.0667,week
2012-06-04,20,2.1,0.6,0.0,week
2012-06-11,22,1.7273,0.7273,0.0,week
2012-06-18,31,2.5161,0.3548,0.0323,week
2012-06-25,33,2.1818,0.5758,0.0303,week
2012-07-02,46,2.0,0.6522,0.0,week
2012-07-09,26,2.1538,0.6154,0.0,week
2012-07-16,9,1.5556,0.8889,0.0,week
2012-07-23,43,2.1163,0.6047,0.0,week
2012-07-30,33,2.1212,0.5152,0.0,week
2012-08-06,27,2.1111,0.5185,0.0,week
2012-08-13,25,2.36,0.4,0.0,week
2012-08-20,22,2.0909,0.5455,0.0,week
2012-08-27,17,1.7647,0.7647,0.0,week
2012-09-03,34,1.8529,0.7353,0.0,week
2012-09-10,28,1.8571,0.75,0.0,week
2012-09-17,24,2.0417,0.5417,0.0,week
2012-09-24,17,2.1176,0.5294,0.0,week
2012-10-01,28,2.25,0.5,0.0357,week
2012-10-08,29,2.2069,0.4828,0.0345,week
2012-10-15,28,1.8571,0.6786,0.0,week
2012-10-22,31,1.8065,0.7419,0.0,week
2012-10-29,30,2.0,0.6,0.0,week
2012-11-05,16,2.375,0.375,0.0,week
2012-11-12,23,2.0435,0.5652,0.0,week
2012-11-19,29,1.5862,0.8276,0.0,week
2012-11-26,24,2.1667,0.5417,0.0,week
2012-12-03,20,1.85,0.75,0.0,week
2012-12-10,24,1.5417,0.8333,0.0,week
2012-12-17,21,2.2857,0.5238,0.0,week
2012-12-24,17,2.0588,0.6471,0.0,week
2012-12-31,26,2.0769,0.5385,0.0,week
2013-01-07,17,2.4706,0.4706,0.0,week
2013-01-14,21,2.0952,0.5238,0.0,week
2013-01-21,19,1.8421,0.7895,0.0,week
2013-01-28,20,1.7,0.7,0.0,week
2013-02-04,18,1.8889,0.6111,0.0,week
2013-02-11,33,1.7576,0.7576,0.0,week
2013-02-18,12,1.9167,0.5833,0.0,week
2013-02-25,17,1.9412,0.5882,0.0,week
2013-03-04,17,1.8235,0.7059,0.0,week
2013-03-11,15,2.1333,0.5333,0.0,week
2013-03-18,542,2.5314,0.5351,0.3137,week
2013-03-25,240,3.6458,0.2542,0.6042,week
2013-04-01,50,3.58,0.28,0.56,week
2013-04-08,54,2.7963,0.463,0.3333,week
2013-04-15,35,1.6286,0.8,0.0286,week
2013-04-22,18,2.1111,0.6111,0.0556,week
2013-04-29,11,2.1818,0.6364,0.0,week
2013-05-06,12,2.0,0.6667,0.0,week
2013-05-13,28,2.3571,0.4286,0.0,week
2013-05-20,27,1.8889,0.7037,0.0,week
2013-05-27,18,2.0556,0.5556,0.0,week
2013-06-03,21,1.9048,0.7143,0.0,week
2013-06-10,14,2.0714,0.5,0.0,week
2013-06-17,23,1.6087,0.7391,0.0,week
2013-06-24,20,2.15,0.55,0.1,week
2013-07-01,26,1.8077,0.7308,0.0,week
2013-07-08,26,1.6538,0.7308,0.0,week
2013-07-15,23,1.913,0.6087,0.0,week
2013-07-22,27,1.7778,0.7037,0.0,week
2013-07-29,15,2.0,0.6667,0.0,week
2013-08-05,20,2.3,0.4,0.0,week
2013-08-12,19,1.5263,0.8947,0.0,week
2013-08-19,9,2.0,0.5556,0.0,week
2013-08-26,32,1.9688,0.6562,0.0625,week
2013-09-02,35,1.9429,0.6,0.0,week
2013-09-09,22,2.1364,0.5455,0.0455,week
2013-09-16,22,2.0,0.6818,0.0455,week
2013-09-23,12,1.75,0.75,0.0,week
2013-09-30,16,2.1875,0.5,0.0625,week
2013-10-07,20,2.0,0.65,0.0,week
2013-10-14,23,1.913,0.5652,0.0435,week
2013-10-21,19,1.8421,0.6316,0.0,week
2013-10-28,54,2.7963,0.3333,0.3333,week
2013-11-04,30,2.5667,0.4,0.2667,week
2013-11-11,51,2.7647,0.3529,0.3529,week
2013-11-18,37,2.8108,0.3784,0.3243,week
2013-11-25,30,2.6333,0.4333,0.3667,week
2013-12-02,47,2.5957,0.4468,0.3404,week
2013-12-09,34,2.7647,0.3824,0.3824,week
2013-12-16,55,2.6,0.3818,0.3273,week
2013-12-23,55,3.0182,0.2727,0.4182,week
2013-12-30,48,2.5833,0.5,0.3542,week
2014-01-06,57,2.4211,0.5088,0.2632,week
2014-01-13,58,2.8276,0.3966,0.4483,week
2014-01-20,63,2.5873,0.4444,0.3016,week
2014-01-27,58,2.6724,0.3793,0.3793,week
2014-02-03,50,2.9,0.34,0.52,week
2014-02-10,46,3.087,0.3043,0.587,week
2014-02-17,49,2.3061,0.5918,0.2449,week
2014-02-24,44,2.6136,0.4545,0.3636,week
2014-03-03,42,2.4524,0.5,0.3095,week
2014-03-10,71,3.0845,0.338,0.4648,week
2014-03-17,705,2.9035,0.4766,0.4369,week
2014-03-24,392,3.0128,0.4184,0.4592,week
2014-03-31,117,2.9145,0.4017,0.3846,week
2014-04-07,104,2.8269,0.4712,0.4135,week
2014-04-14,63,2.5238,0.4762,0.3492,week
2014-04-21,79,2.0253,0.6203,0.1899,week
2014-04-28,69,2.3913,0.5217,0.3188,week
2014-05-05,61,2.0984,0.6066,0.1639,week
2014-05-12,80,2.125,0.6,0.2,week
2014-05-19,61,2.0984,0.5902,0.1475,week
2014-05-26,94,2.234,0.5851,0.2766,week
2014-06-02,103,1.9515,0.6505,0.1748,week
2014-06-09,87,2.0575,0.6207,0.1839,week
2014-06-16,123,1.9268,0.7236,0.1301,week
2014-06-23,93,1.8172,0.6989,0.1398,week
2014-06-30,88,2.375,0.5455,0.3068,week
2014-07-07,111,1.9369,0.6757,0.1982,week
2014-07-14,128,2.375,0.5,0.2578,week
2014-07-21,116,1.9224,0.6897,0.181,week
2014-07-28,129,2.031,0.6357,0.2093,week
2014-08-04,105,2.0286,0.6476,0.219,week
2014-08-11,131,2.1756,0.6107,0.2366,week
2014-08-18,148,2.1216,0.6216,0.25,week
2014-08-25,154,2.026,0.6494,0.1948,week
2014-09-01,162,1.9877,0.679,0.1667,week
2014-09-08,144,1.8403,0.7014,0.0833,week
