review_id,entity_type,title,primary_category,review_date,review_score,rating_sentiment,text_sentiment_label,text_sentiment_score,helpful_count,review_text
games_139_20240316_752574,game,Free Fire MAX,Action,2024-03-16,2,negative,positive,0.3964,184949,"This game is beyond infuriating! Despite having a stellar network connection, Free Fire just refuses to cooperate. Every time I attempt to start a match, it gets stuck at the loading screen indefinitely. It's like the ga"
games_15_20220614_499374,game,Ludo King®,Board,2022-06-14,2,negative,positive,0.8126,67938,"When we get 6, and then other number, then I think you should allow a move only after finishing all the turns and not on every 6, because ultimately that person is still playing, and incomplete move cause irritation. Som"
games_15_20230320_498708,game,Ludo King®,Board,2023-03-20,1,negative,positive,0.7016,61043,"Very poor algorithm. The turns are not at all random and is created in a way to make the game prolonged. Once you play a few matches, you realise that the game plays out in a way to make it exciting for the players. Even"
games_15_20230809_498703,game,Ludo King®,Board,2023-08-09,1,negative,positive,0.9469,57992,"This app should be removed from the store. Such a poor algorithm is implemented, ensuring that no matter how hard you try, you'll need to purchase coins once you surpass 10k points. I highly recommend not spending any mo"
games_15_20240205_499074,game,Ludo King®,Board,2024-02-05,1,negative,positive,0.743,54805,"The Ul is the best amongst the peers. The game speed is excellent. However, after a while you realise that the game is biased towards certain opponents. Also, if you play 4 player games, you will find that the games are "
games_15_20230113_498719,game,Ludo King®,Board,2023-01-13,1,negative,positive,0.7016,37014,"Very poor algorithm. The turns are not at all random and is created in a way to make the game prolonged. Once you play a few matches, you realise that the game plays out in a way to make it exciting for the players. Even"
games_15_20220408_499172,game,Ludo King®,Board,2022-04-08,1,negative,positive,0.3366,33583,The game is completely biased. I try to play so good but somehow it always makes me move at an unsafe place and gives the other player the exact no. of moves it needs to cut my chances. I have seen this especially when t
games_15_20230903_498911,game,Ludo King®,Board,2023-09-03,1,negative,positive,0.8996,33328,"The game is good! But this app's algorithm fixes the winner first and then give the numbers on dice accordingly! It's not at all random numbers on dice, it's just the algorithm... How it's want you to play the game, it'l"
games_139_20241024_754426,game,Free Fire MAX,Action,2024-10-24,4,positive,negative,-0.4138,30124,"My android device switched off because of less battery percentage unexpectedly. When I try to open the app again, it keeps on providing the message ""Network busy, please retry"". The message conveys that server is current"
games_277_20230826_1020708,game,My Talking Angela 2,Simulation,2023-08-26,2,negative,positive,0.8793,25466,"Everything works well, except there are few bugs that I must tell. Firstly, one of Angela's happy expressions doesn't have her voice in it (like it used to be, do check). Second, where's the sticker shop button? I eventu"
games_139_20240502_752522,game,Free Fire MAX,Action,2024-05-02,2,negative,positive,0.8943,25301,First it was a really good game. But now I couldn't play any modes. It started in royale hide and seek and zombie modes but now I couldn't play in any modes. My friends and I go play together they all go into the match b
