period_start,text_sentiment_label,review_count,average_rating
2010-04-19,neutral,3,1.6667
2010-04-19,positive,3,1.3333
2010-04-26,neutral,8,2.375
2010-04-26,positive,6,3.0
2010-04-26,negative,1,3.0
2010-05-03,positive,6,2.3333
2010-05-03,neutral,5,3.0
2010-05-10,neutral,11,2.1818
2010-05-10,positive,11,2.8182
2010-05-10,negative,4,2.0
2010-05-17,positive,9,2.3333
2010-05-17,negative,4,2.5
2010-05-17,neutral,4,2.25
2010-05-24,neutral,8,2.25
2010-05-24,positive,6,2.5
2010-05-24,negative,4,1.5
2010-05-31,neutral,4,3.0
2010-05-31,positive,3,2.3333
2010-06-07,positive,11,2.7273
2010-06-07,neutral,8,2.5
2010-06-07,negative,6,1.5
2010-06-14,positive,4,2.0
2010-06-14,neutral,3,1.3333
2010-06-14,negative,2,3.0
2010-06-21,positive,7,2.4286
2010-06-21,negative,4,2.25
2010-06-21,neutral,4,1.75
2010-06-28,positive,7,1.8571
2010-06-28,neutral,5,2.0
2010-06-28,negative,2,2.0
2010-07-05,neutral,11,2.0909
2010-07-05,positive,5,2.6
2010-07-05,negative,1,1.0
2010-07-12,positive,7,2.7143
2010-07-12,neutral,6,2.6667
2010-07-12,negative,5,1.6
2010-07-19,positive,11,2.9091
2010-07-19,neutral,10,2.4
2010-07-19,negative,1,3.0
2010-07-26,positive,10,2.3
2010-07-26,neutral,8,1.875
2010-07-26,negative,7,1.5714
2010-08-02,neutral,13,1.7692
2010-08-02,negative,11,1.6364
2010-08-02,positive,10,1.9
2010-08-09,negative,8,1.625
2010-08-09,positive,8,2.5
2010-08-09,neutral,5,2.2
2010-08-16,positive,14,2.2857
2010-08-16,neutral,8,2.375
2010-08-16,negative,5,1.8
2010-08-23,positive,9,1.8889
2010-08-23,negative,4,2.0
2010-08-23,neutral,4,2.5
2010-08-30,positive,14,2.3571
2010-08-30,neutral,8,2.125
2010-08-30,negative,3,1.6667
2010-09-06,positive,11,2.5455
2010-09-06,negative,8,1.5
2010-09-06,neutral,8,2.0
2010-09-13,neutral,6,2.0
2010-09-13,positive,5,2.6
2010-09-13,negative,3,1.6667
2010-09-20,positive,7,2.4286
2010-09-20,neutral,6,1.8333
2010-09-20,negative,4,1.25
2010-09-27,neutral,16,1.75
2010-09-27,positive,14,2.3571
2010-09-27,negative,8,1.625
2010-10-04,positive,6,2.3333
2010-10-04,neutral,5,2.0
2010-10-11,neutral,6,2.0
2010-10-11,negative,5,2.4
2010-10-11,positive,3,1.3333
2010-10-18,neutral,8,2.125
2010-10-18,positive,5,2.8
2010-10-18,negative,3,1.3333
2010-10-25,negative,3,1.6667
2010-10-25,positive,3,2.0
2010-10-25,neutral,2,2.0
2010-11-01,neutral,7,1.8571
2010-11-01,positive,5,2.8
2010-11-01,negative,4,2.75
2010-11-08,neutral,4,2.0
2010-11-08,positive,3,2.0
2010-11-08,negative,1,3.0
2010-11-15,positive,6,2.6667
2010-11-15,negative,4,2.0
2010-11-15,neutral,3,3.0
2010-11-22,negative,5,1.8
2010-11-22,neutral,5,1.4
2010-11-22,positive,1,2.0
2010-11-29,positive,11,2.1818
2010-11-29,negative,6,2.3333
2010-11-29,neutral,5,2.4
2010-12-06,neutral,9,1.6667
2010-12-06,positive,8,2.375
