entity_type,title,review_count,negative_text_share,positive_text_share,mismatch_share,average_rating
app,"Priceline: Hotel, Flight & Car",1620,0.6364,0.2148,0.2148,1.0
app,BURGER KING® App,2660,0.5647,0.2744,0.2744,1.0
game,Jurassic World™: The Game,760,0.4461,0.4395,0.4395,1.0
app,Frontier Airlines,9255,0.4169,0.3095,0.1024,2.2843
app,Amazon Alexa,9380,0.4165,0.3971,0.2095,2.081
game,Running Fable,10,0.4,0.5,0.1,2.7
game,Grimvalor,773,0.3946,0.2898,0.2898,1.0
app,U-Haul,5922,0.3715,0.395,0.1226,2.4777
game,Qblock: Wood Block Puzzle Game,2520,0.3591,0.4071,0.2956,1.8095
app,AXS Tickets,6281,0.355,0.4528,0.1283,2.7268
app,Xbox,5479,0.3537,0.4846,0.4846,1.4525
app,Google Wallet,13040,0.3532,0.4803,0.2038,2.6994
app,Yahoo Mail,15000,0.3463,0.4889,0.1623,3.0
app,Okta Verify,3545,0.3461,0.3413,0.1069,2.4034
app,DoorDash - Dasher,15000,0.3433,0.5083,0.1722,3.0
game,Pocket Hockey Stars,53,0.3208,0.4717,0.1321,2.3208
game,Free Fire MAX,4996,0.3207,0.5891,0.217,2.9984
game,Office Cat: Idle Tycoon Games,1480,0.3074,0.4973,0.4973,1.3243
game,Geometry Dash Lite,5000,0.3026,0.5736,0.161,3.0
game,Kick the Buddy－Fun Action Game,5000,0.292,0.6,0.243,3.0
game,Dream League Soccer 2025,5000,0.2912,0.6246,0.2056,3.0
app,Taco Bell Fast Food & Delivery,15000,0.2907,0.5471,0.1662,3.0
app,Subway®,15000,0.2906,0.5568,0.1467,3.0
game,Ronin: The Last Samurai,4881,0.2903,0.5712,0.193,3.0244
game,Ash N Veil : Fast Idle Action,36,0.2778,0.4167,0.1944,2.1389
app,Google Calendar,15000,0.2766,0.5745,0.1857,3.0
app,Domino's Pizza USA,15000,0.2762,0.5849,0.1628,3.0
app,Google Play Games,11879,0.2758,0.515,0.2427,2.4847
game,DARK AND DARKER MOBILE,1525,0.2748,0.5469,0.2039,2.9167
game,eFootball™,5000,0.2708,0.65,0.2124,3.0
app,Workday,14053,0.2684,0.4855,0.0972,3.0238
game,Top War: Battle Game,5000,0.2656,0.6146,0.22,3.0
game,Left to Survive: Zombie Games,4720,0.2629,0.6165,0.2106,2.8814
app,YouTube TV: Live TV & more,14998,0.2617,0.5411,0.1552,3.0
game,Tap Away,5000,0.2602,0.6308,0.2524,3.0
app,Talkie: Creative AI Community,12740,0.2599,0.6098,0.2285,3.0
game,Supreme Duelist,5000,0.2592,0.5992,0.2084,3.0
app,Panda Express,9959,0.2582,0.5227,0.1054,3.0236
game,Vampire: The Masquerade - CoNY,35,0.2571,0.6571,0.0571,3.9429
game,Blockudoku®: Block Puzzle Game,5000,0.2568,0.627,0.2234,3.0
app,"Nike: Shoes, Apparel & Stories",15000,0.2563,0.498,0.1053,3.0
game,Geometry Dash,5000,0.2556,0.5866,0.17,3.0
game,Worms Zone .io - Hungry Snake,5000,0.255,0.611,0.1974,3.0
game,Pokémon TCG Pocket - Card Game,5000,0.2544,0.66,0.217,3.0
app,Safeway Deals & Delivery,13996,0.2535,0.5457,0.1291,3.0442
app,Dairy Queen® Food & Treats,8936,0.2531,0.542,0.1241,3.0212
game,Island War,4389,0.2527,0.5915,0.1775,3.0854
app,Google Voice,15000,0.2525,0.5675,0.1557,3.0
game,Sudoku - Classic Sudoku Puzzle,9618,0.252,0.5882,0.189,3.0205
game,Snake.io - Fun Snake .io Games,5000,0.252,0.6238,0.1894,3.0
game,Idle Weapon Shop,711,0.2518,0.5302,0.2602,2.4543
game,One State RP - Role Play Life,2756,0.25,0.5374,0.1655,2.9946
app,Western Union Send Money Now,21462,0.2497,0.5047,0.1055,3.1021
game,The Godfather: Family Dynasty,2771,0.2486,0.507,0.1429,2.5402
game,MONOPOLY,3900,0.2464,0.6474,0.2946,2.4615
game,Hungry Shark Evolution,5000,0.2442,0.6488,0.2256,3.0
