topic_id,topic_name,core_keywords,representative_review,representative_title,review_count,average_rating,unique_titles,top_categories,top_titles,recent_7d_count,recent_7d_growth_rate,recent_30d_count,recent_30d_growth_rate,priority_score,priority_level,trend_label,analysis_method
3,just / money / make,just | money | make | want | spend | way,just demanding money for playing more .,My Talking Angela 2,21301,1.3559,234,Strategy | Role Playing | Simulation,"Pokémon TCG Pocket - Card Game | Frontier Airlines | Linky AI: Chat, Play, Connect",168,-0.7579,2543,-0.1532,52.67,中,相对平稳,tfidf_nmf
8,account / phone / won,account | phone | won | google | let | tried,"Won't let me log in because "" your phone number is in use"" but I've never set up an account before. And when I try to check out, it declines every card I have.",Subway®,17169,1.2713,228,Entertainment | Communication | Productivity,Google Wallet | Yahoo Mail | Bluesky,177,-0.702,2083,-0.2403,50.58,中,明显回落,tfidf_nmf
1,app / order / use,app | order | use | use app | store | used,This app is very derty,TikTok Studio,18184,1.269,190,Food & Drink | Entertainment | Shopping,Taco Bell Fast Food & Delivery | Subway® | DoorDash - Dasher,212,-0.5768,1897,-0.1651,49.36,中,相对平稳,tfidf_nmf
0,game / play / play game,game | play | play game | playing | fun | game play,This game is nottttttt openinggggggggggg,Real Cricket Swipe,10245,1.343,225,Action | Simulation | Strategy,"Free Fire MAX | eFootball™ | Good Coffee, Great Coffee",83,-0.8033,1483,-0.2227,47.82,中,明显回落,tfidf_nmf
7,like / don / don like,like | don | don like | like game | like ads | game like,Nothing much but it seems like it adorable,Alibaba.com - B2B marketplace,9015,1.3996,226,Action | Simulation | Strategy,"Talkie: Creative AI Community | Linky AI: Chat, Play, Connect | Dark War Survival",72,-0.75,1053,-0.1974,47.37,中,相对平稳,tfidf_nmf
11,time / waste / waste time,time | waste | waste time | don | don waste | order,Signs me out all the time :(,Bluesky,7951,1.2894,211,Food & Drink | Strategy | Role Playing,DoorDash - Dasher | Subway® | Taco Bell Fast Food & Delivery,70,-0.7586,983,-0.1392,47.37,中,相对平稳,tfidf_nmf
2,ads / ads ads / game ads,ads | ads ads | game ads | way ads | watch | ads game,Full of ads 😡🤬,"Linky AI: Chat, Play, Connect",8281,1.3481,178,Puzzle | Simulation | Strategy,TDS - Tower Destiny Survive | Sudoku - Classic Sudoku Puzzle | Talkie: Creative AI Community,70,-0.7034,815,-0.0675,45.81,中,相对平稳,tfidf_nmf
6,work / doesn / doesn work,work | doesn | doesn work | app doesn | does | does work,Doesn't work,Local News: Breaking & Latest,5309,1.2871,200,Food & Drink | Entertainment | Business,Subway® | Taco Bell Fast Food & Delivery | Google Wallet,50,-0.7423,642,-0.1586,45.63,中,相对平稳,tfidf_nmf
10,pay / win / pay win,pay | win | pay win | play | free | pay play,Pay to win and pay a lot,Battle Strategy: Tower Defense,5663,1.3223,196,Strategy | Role Playing | Action,Google Wallet | Last War:Survival Game | Frontier Airlines,40,-0.801,655,-0.129,45.58,中,相对平稳,tfidf_nmf
5,update / new / new update,update | new | new update | fix | latest | latest update,And now it will not update again after the Jan 8th update.,Google Play Games,7333,1.3345,192,Entertainment | Strategy | Simulation,Google Play Games | Top Troops: Adventure RPG | Yahoo Mail,48,-0.7867,762,-0.2021,45.09,中,明显回落,tfidf_nmf
4,good / good game / game good,good | good game | game good | good app | bad | app good,So good All mighty,TikTok Studio,5355,1.4844,211,Action | Simulation | Role Playing,"Linky AI: Chat, Play, Connect | Talkie: Creative AI Community | Good Coffee, Great Coffee",44,-0.7365,701,-0.2372,44.3,中,明显回落,tfidf_nmf
9,ad / watch / watch ad,ad | watch | watch ad | level | like ad | game ad,too many ad's,Rollance : Adventure Balls,4194,1.3126,177,Strategy | Puzzle | Simulation,TDS - Tower Destiny Survive | Whiteout Survival | Talkie: Creative AI Community,23,-0.7909,397,-0.2139,43.14,中,明显回落,tfidf_nmf
